Number|"Post ID"|"Product ID"|Affiliate|"Product Title"|Brand|"Image URL"|Price|RRP|Link|Status
"112 of 5914 (1.89%)"|12454|3100_3162862811|awin|"DKNY Greenwich black large double zip tote bag, Black"|"House of Fraser"|http://images.productserve.com/preview/0/3100/11/28/3162862811.jpg|269.00|0.00|http://www.awin1.com/pclick.php?p=3162862811&a=99908&m=3100|"Updated by ID"
"113 of 5914 (1.91%)"|12453|3100_3163924029|awin|"DKNY Coated logo black large zip top tote bag, Black"|"House of Fraser"|http://images.productserve.com/preview/0/3100/29/40/3163924029.jpg|103.20|129.00|http://www.awin1.com/pclick.php?p=3163924029&a=99908&m=3100|"Updated by ID"
"114 of 5914 (1.93%)"|12452|3118605737|awin|"Dkny Black Tote Bag, Black"||||||"Not Found"
"115 of 5914 (1.94%)"|12441|110017257590025103636428123396|linkshare|"M & S Collection Bobble Button Cardigan"||||||"Not Found"
"116 of 5914 (1.96%)"|12440|110016003101286025743912000073|linkshare|"M & S Collection Bobble Button Cardigan"||||||"Not Found"
"117 of 5914 (1.98%)"|12439|110002623371582824201777522440|linkshare|"Luxury Sartorial Pure Cashmere V-neck Cardigan"||||||"Not Found"
"118 of 5914 (2.00%)"|12438|110051233639052334513081761153|linkshare|"Limited Edition Chevron Tier Cover-up Cardigan"||||||"Not Found"
"119 of 5914 (2.01%)"|12437|110066956353548700502019355337|linkshare|"Limited Edition Bouclé Cardigan With Mohair"||||||"Not Found"
"120 of 5914 (2.03%)"|12436|110052987375357375322423152304|linkshare|"Indigo Collection Pockets Stitched Cardigan With Merino Wool"||||||"Not Found"
"121 of 5914 (2.05%)"|12435|110069405334860161530091710723|linkshare|"Indigo Collection Patch Pointelle Cardigan With Wool"||||||"Not Found"
"122 of 5914 (2.06%)"|12434|110082580932205821284111657393|linkshare|"Indigo Collection Open Front Cardigan"||||||"Not Found"
